Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"FLANGE 4 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1626,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153081.4mm U 1336.5mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1627,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153081.4mm U 1336.5mm,,,,
17-VBL-20012,=67132086/1628,VALV,66620M0r01-GAS1/BTRF-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153478.1mm U 1336.5mm,,,,
"GASKET 6 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1629,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153871.6mm U 1336.5mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1630,PCOM,66620M0r01-GAS1/SPNF-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153874.8mm U 1336.5mm,,,,
"GASKET 7 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1631,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153909.9mm U 1336.5mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1632,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 153913.1mm U 1336.5mm,,,,
ileave tube of =67132086/1632,=67132086/1632,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154167.749mm U 1336.5mm,,,,
PS-171006.2,=67132086/1633,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154263.397mm U 1336.5mm,,,,
PS-171006.6,=67132086/1634,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154263.397mm U 1336.5mm,,,,
PS-171006.4,=67132086/1635,ATTA,MDS/GT573-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154263.397mm U 1336.5mm,,,,
ileave tube of /PS-171006.4,=67132086/1635,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154398.599mm U 1336.5mm,,,,
"OLET 2 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1636,OLET,66620M0r01-GAS1/BR3B-250x50,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 1336.5mm,,,,
ileave tube of =67132086/1636,=67132086/1636,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154608.8mm U 1336.5mm,,,,
"TEE 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1637,TEE,66620M0r01-GAS1/TEEB-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154899.8mm U 1336.5mm,,,,
"FLANGE 6 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1638,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 155274.8mm U 1336.5mm,,,,
"GASKET 8 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1639,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 155274.8mm U 1336.5mm,,,,
17-MOV-10003A,=67132086/1640,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 155671.5mm U 1336.5mm,,,,
"GASKET 9 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1641,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 156065mm U 1336.5mm,,,,
"FLANGE 7 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1642,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 156068.2mm U 1336.5mm,,,,
ileave tube of =67132086/1642,=67132086/1642,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 156667.6mm U 1336.498mm,,,,
PS-171007.1,=67132086/1643,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 157108mm U 1336.497mm,,,,
PS-171007.6,=67132086/1644,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 157108mm U 1336.497mm,,,,
ileave tube of /PS-171007.6,=67132086/1644,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 157699.252mm U 1336.497mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1645,ELBO,66620M0r01-GAS1/E45B-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 158449.504mm U 1336.497mm,,,,
ileave tube of =67132086/1645,=67132086/1645,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 158619.204mm U 1166.797mm,,,,
"BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1646,BRAN,,"BTRM-1000-10""-P1710012-66620M0-01",,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1647,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 1161.9mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1648,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 1016.9mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1649,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 1016.9mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1650,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 905.7mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1651,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 797.7mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B2",=67132086/1652,FBLI,66620M0r01-GAS1/BLFL-25,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 154533.8mm U 794.5mm,,,,
"BTRM-1000-14""-P1710001-66620M0-01",=67132086/1653,PIPE,,"BTRM-1000-14""-P1710001-66620M0-01",,,,,
"BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1654,BRAN,,"BTRM-1000-14""-P1710001-66620M0-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1655,FBLI,66620M0r01-GAS1/BLFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 151174.8mm N 158858.2mm U 927.8mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1656,GASK,66620M0r01-GAS1/GKSW-350,"BTRM-1000-14""-P1710001-66620M0-01",E 151174.8mm N 158858.2mm U 927.8mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1657,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 151178mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1657,=67132086/1657,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 151475mm N 158858.2mm U 927.8mm,,,,
PS-171034.1,=67132086/1658,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 151600mm N 158858.2mm U 927.8mm,,,,
PS-171034.6,=67132086/1659,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 151600mm N 158858.2mm U 927.8mm,,,,
PS-171034.3,=67132086/1660,ATTA,MDS/GT573-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 151600mm N 158858.2mm U 927.8mm,,,,
"OLET 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1661,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 151600mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1661,=67132086/1661,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 152047.5mm N 158858.2mm U 927.8mm,,,,
PS-171100.2,=67132086/1662,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 152495mm N 158858.2mm U 927.8mm,,,,
PS-171100.1,=67132086/1663,ATTA,MDS/BT501-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 152495mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171100.1,=67132086/1663,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 152708mm N 158858.2mm U 927.8mm,,,,
"TEE 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1664,TEE,66620M0r01-GAS1/TERB-350x250,"BTRM-1000-14""-P1710001-66620M0-01",E 153200mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1664,=67132086/1664,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 154264.5mm N 158858.2mm U 927.8mm,,,,
PS-171101.2,=67132086/1665,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 155050mm N 158858.2mm U 927.8mm,,,,
PS-171101.1,=67132086/1666,ATTA,MDS/BT501-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 155050mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171101.1,=67132086/1666,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 156325mm N 158858.2mm U 927.8mm,,,,
PS-171035.2,=67132086/1667,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 157600mm N 158858.2mm U 927.8mm,,,,
PS-171035.8,=67132086/1668,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 157600mm N 158858.2mm U 927.8mm,,,,
PS-171035.5,=67132086/1669,ATTA,MDS/GT573-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 157600mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171035.5,=67132086/1669,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 157760.5mm N 158858.2mm U 927.8mm,,,,
"TEE 2 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1670,TEE,66620M0r01-GAS1/TERB-350x250,"BTRM-1000-14""-P1710001-66620M0-01",E 158200mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1670,=67132086/1670,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 159239.5mm N 158858.2mm U 927.8mm,,,,
PS-171102.2,=67132086/1671,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 160000mm N 158858.2mm U 927.8mm,,,,
PS-171102.1,=67132086/1672,ATTA,MDS/BT501-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 160000mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171102.1,=67132086/1672,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 161300mm N 158858.2mm U 927.8mm,,,,
PS-171036.2,=67132086/1673,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 162600mm N 158858.2mm U 927.8mm,,,,
PS-171036.9,=67132086/1674,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 162600mm N 158858.2mm U 927.8mm,,,,
PS-171036.5,=67132086/1675,ATTA,MDS/GT573-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 162600mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171036.5,=67132086/1675,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 162760.5mm N 158858.2mm U 927.8mm,,,,
"TEE 3 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1676,TEE,66620M0r01-GAS1/TERB-350x250,"BTRM-1000-14""-P1710001-66620M0-01",E 163200mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1676,=67132086/1676,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 164239.5mm N 158858.2mm U 927.8mm,,,,
PS-171103.2,=67132086/1677,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 165000mm N 158858.2mm U 927.8mm,,,,
PS-171103.1,=67132086/1678,ATTA,MDS/BT501-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 165000mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171103.1,=67132086/1678,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 166262.5mm N 158858.2mm U 927.8mm,,,,
PS-171037.1,=67132086/1679,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 167525mm N 158858.2mm U 927.8mm,,,,
PS-171037.9,=67132086/1680,ATTA,MDS/GT576-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 167525mm N 158858.2mm U 927.8mm,,,,
PS-171037.5,=67132086/1681,ATTA,MDS/GT573-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 167525mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171037.5,=67132086/1681,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 167723mm N 158858.2mm U 927.8mm,,,,
"TEE 4 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1682,TEE,66620M0r01-GAS1/TERB-350x250,"BTRM-1000-14""-P1710001-66620M0-01",E 168200mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1682,=67132086/1682,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 169367mm N 158858.2mm U 927.8mm,,,,
"ATTACHMENT 21 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1683,ATTA,66620M0r01-GAS1/ATTA-350,"BTRM-1000-14""-P1710001-66620M0-01",E 168479mm N 158858.2mm U 927.8mm,,,,
PS-171104.2,=67132086/1684,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 170255mm N 158858.2mm U 927.8mm,,,,
PS-171104.1,=67132086/1685,ATTA,MDS/BT501-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 170255mm N 158858.2mm U 927.8mm,,,,
ileave tube of /PS-171104.1,=67132086/1685,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 170809.564mm N 158858.2mm U 927.8mm,,,,
"OLET 2 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1686,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 171364.129mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1686,=67132086/1686,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 172311.359mm N 158858.2mm U 927.8mm,,,,
"OLET 3 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1687,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 173258.59mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1687,=67132086/1687,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 174242.295mm N 158858.2mm U 927.8mm,,,,
SL-171501.2,=67132086/1688,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 175226mm N 158858.2mm U 927.8mm,,,,
SL-171501.8,=67132086/1689,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 175226mm N 158858.2mm U 927.8mm,,,,
SL-171501.4,=67132086/1690,ATTA,MDS/GT573-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 175226mm N 158858.2mm U 927.8mm,,,,
ileave tube of /SL-171501.4,=67132086/1690,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 176228.445mm N 158858.2mm U 927.8mm,,,,
"OLET 4 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1691,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 177230.89mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1691,=67132086/1691,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 178440.945mm N 158858.2mm U 927.8mm,,,,
"OLET 5 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1692,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 179651mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1692,=67132086/1692,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 179951mm N 158858.2mm U 927.8mm,,,,
"OLET 6 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1693,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 180251mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1693,=67132086/1693,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 180550.5mm N 158858.2mm U 927.8mm,,,,
SL-171502.1,=67132086/1694,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 180850mm N 158858.2mm U 927.8mm,,,,
SL-171502.8,=67132086/1695,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 180850mm N 158858.2mm U 927.8mm,,,,
ileave tube of /SL-171502.8,=67132086/1695,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 182873mm N 158858.2mm U 927.8mm,,,,
"TEE 5 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1696,TEE,66620M0r01-GAS1/TERB-350x200,"BTRM-1000-14""-P1710001-66620M0-01",E 185175mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1696,=67132086/1696,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 185652mm N 158858.2mm U 927.8mm,,,,
SL-171505.2,=67132086/1697,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 185850mm N 158858.2mm U 927.8mm,,,,
SL-171505.9,=67132086/1698,ATTA,MDS/AN578-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 185850mm N 158858.2mm U 927.8mm,,,,
"OLET 7 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1699,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 185850mm N 158858.2mm U 927.8mm,,,,
ileave tube of =67132086/1699,=67132086/1699,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 186933.5mm N 158858.2mm U 927.8mm,,,,
"ATTACHMENT 31 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1700,ATTA,66620M0r01-GAS1/ATTA-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188017mm N 158858.2mm U 927.8mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1701,ELBO,66620M0r01-GAS1/E90B-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158858.2mm U 927.8mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1702,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158153.2mm U 927.8mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1703,GASK,66620M0r01-GAS1/GKSW-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158153.2mm U 927.8mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1704,PCOM,66620M0r01-GAS1/SPNF-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158150mm U 927.8mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1705,GASK,66620M0r01-GAS1/GKSW-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158105.5mm U 927.8mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1706,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 158102.3mm U 927.8mm,,,,
ileave tube of =67132086/1706,=67132086/1706,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 157255.299mm U 927.8mm,,,,
PS-171080.1,=67132086/1707,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 156580.297mm U 927.8mm,,,,
PS-171080.2,=67132086/1708,ATTA,MDS/GT575-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 156580.297mm U 927.8mm,,,,
ileave tube of /PS-171080.2,=67132086/1708,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 156326.149mm U 927.8mm,,,,
"OLET 8 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1709,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 156072mm U 927.8mm,,,,
ileave tube of =67132086/1709,=67132086/1709,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 155772mm U 927.8mm,,,,
"OLET 9 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1710,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 155472mm U 927.8mm,,,,
ileave tube of =67132086/1710,=67132086/1710,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 155322mm U 927.8mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1711,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 155000mm U 927.8mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1712,GASK,66620M0r01-GAS1/GKSW-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 155000mm U 927.8mm,,,,
17-VBL-20007,=67132086/1713,VALV,66620M0r01-GAS1/BTRF-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 154552.3mm U 927.8mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1714,GASK,66620M0r01-GAS1/GKSW-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 154107.8mm U 927.8mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1715,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 154104.6mm U 927.8mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1716,ELBO,66620M0r01-GAS1/E90B-350,"BTRM-1000-14""-P1710001-66620M0-01",E 188550mm N 153399.6mm U 927.8mm,,,,
ileave tube of =67132086/1716,=67132086/1716,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 189358mm N 153399.6mm U 927.8mm,,,,
"OLET 10 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1717,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 189633mm N 153399.6mm U 927.8mm,,,,
ileave tube of =67132086/1717,=67132086/1717,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 189670.501mm N 153399.6mm U 927.8mm,,,,
PS-171083.1,=67132086/1718,ATTA,MDS/PIPE-REST.14-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 189708.003mm N 153399.6mm U 927.8mm,,,,
PS-171083.3,=67132086/1803,ATTA,MDS/GT575-350-PMP,"BTRM-1000-14""-P1710001-66620M0-01",E 189708.003mm N 153399.6mm U 927.8mm,,,,
ileave tube of /PS-171083.3,=67132086/1803,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 189845.503mm N 153399.6mm U 927.8mm,,,,
"OLET 11 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1720,OLET,66620M0r01-GAS1/BR6B-350x50,"BTRM-1000-14""-P1710001-66620M0-01",E 189983.003mm N 153399.6mm U 927.8mm,,,,
ileave tube of =67132086/1720,=67132086/1720,TUBI,66620M0r01-GAS1/PIPE-350,"BTRM-1000-14""-P1710001-66620M0-01",E 190153.901mm N 153399.6mm U 927.8mm,,,,
"FLANGE 6 of BRANCH /BTRM-1000-14""-P1710001-66620M0-01/B1",=67132086/1721,FLAN,66620M0r01-GAS1/WNFL-350,"BTRM-1000-14""-P1710001-66620M0-01",E 190496.8mm N 153399.6mm U 927.8mm,,,,
